PowerRank,Rank,Team,GP,Wins,GF,GA,GD,Points,Points%,ELO,GD_per_game,z_pts,z_gd,z_elo,PowerScore
1,3,brazil,1611,194,276,189,87,388,0.12042209807572936,1843.052077787908,0.053836633663366336,1.5167478283612619,2.087960413863758,1.5135563963518723,1.744115861358974
2,7,peru,1613,179,256,178,78,358,0.11097334159950403,1732.9540743796383,0.048207663782447466,0.7219043769247131,1.8697336393652315,1.0278005940296902,1.2880997578876625
3,2,thailand,1642,200,294,248,46,400,0.1218026796589525,1750.2320616921518,0.027929568913175468,1.6328844049954387,1.083582117876902,1.1040316093949702,1.22806501168786
4,8,panama,1616,179,255,213,42,358,0.11076732673267327,1786.7225027645725,0.025909932140653916,0.7045740998442287,1.0052838096873322,1.2650285660290868,1.0210170469461706
5,1,pakistan,1602,201,263,212,51,402,0.1254681647940075,1477.9545916633763,0.031736154324828875,1.9412304675982057,1.2311577620554541,-0.09726502463778941,0.9437279630985068
6,4,ethiopia,1613,193,267,247,20,386,0.11965282083075016,1698.9002381374091,0.012360939431396786,1.452035082080903,0.48000955183989485,0.8775540134023276,0.8621564959469983
7,18,indonesia,1611,159,221,210,11,318,0.09869646182495345,1941.8447077687977,0.006806930693069307,-0.31084501368860457,0.26468890913928317,1.9494325408259048,0.7104656995226287
8,5,serbia,1622,188,269,264,5,376,0.1159062885326757,1586.9855174783877,0.0030731407498463433,1.1368712115532922,0.11993543679851898,0.3837827982805238,0.466515957005914
9,10,iceland,1642,174,238,209,29,348,0.10596833130328867,1514.8879046331247,0.01760777170613236,0.30087546499020534,0.6834214207737898,0.06568589652931342,0.3715774983423269
10,16,netherlands,1608,167,243,174,69,334,0.10385572139303482,1282.7177716875503,0.04277743335399876,0.12315957646769321,1.6592116972953137,-0.9586559236035855,0.3589449997737939
11,6,south_korea,1604,188,288,302,-14,376,0.1172069825436409,1573.4303006960433,-0.008701056556867618,1.2462875267625748,-0.33653264793281956,0.32397676184095464,0.29035068916185003
12,15,china,1600,168,239,193,46,336,0.105,1359.3375205632576,0.028660436137071654,0.21941799519757743,1.1119167510747479,-0.6206072175718491,0.28240867307914636
13,21,mexico,1615,158,236,253,-17,316,0.0978328173374613,1813.6808568294678,-0.010493827160493827,-0.38349607279671777,-0.40603569280987967,1.3839696594430937,0.22610108548195146
14,9,uk,1631,179,244,211,33,358,0.10974862047823421,1221.2888587920484,0.020171149144254278,0.6188790142193938,0.7827997443352452,-1.229682190616641,0.03745088457312218
15,11,singapore,1583,172,255,269,-14,344,0.10865445356917246,1500.5071488263984,-0.008816120906801008,0.5268360660669472,-0.3409935213211906,0.0022375563356075083,-0.003905247294276798
